0,description,topic,tech
JdeRobot,Toolkit for developing Robotics applications,"['education', 'artificial intelligence', 'robotics', 'computer vision', 'developer tools']","['python', 'ros', 'gazebo', 'opencv', 'tensorflow']"
Xfce,Lightweight and flexible linux desktop environment,"['desktop', 'customization']","['c', 'gtk']"
ReactOS Foundation,Open your windows to freedom!,"['operating systems', 'kernel', 'drivers', 'windows', 'system programming']","['c', 'c++', 'win32', 'nt']"
Casbin,Authorization library that supports RBAC and ABAC,"['security', 'cloud', 'authorization', 'IAM', 'Authentication']","['javascript', 'java', 'go', 'OIDC', 'OAuth']"
GeomScale,The Global Open Source Foundation,"['mathematics', 'data science', 'computational biology', 'computational geometry', 'statistics']","['python', 'c++', 'r', 'jupyter', 'github-actions']"
VideoLAN,Open source believers rocking the multimedia world,"['audio', 'streaming', 'video', 'codecs', 'media database']","['c', 'c++', 'qt', 'assembly', 'video']"
The Linux Foundation,Non-profit consortium fostering growth of Linux,"['kernel', 'automotive', 'printing', 'iio', 'zephyr']","['c', 'linux', 'c++', 'cups', 'ipp']"
libvirt,Virtualization abstraction library,"['virtualization', 'library']","['kvm', 'hypervisor', 'qemu', 'lxc']"
Scala Center,Guide and support the Scala community,"['education', 'compilers', 'tooling']","['scala', 'scala.js', 'scala native']"
International Catrobat Association,Advancing Open Source & Open Science for Chemistry,"['education', 'visual programming', 'mobile programming', 'game engines', 'creativity tools']","['javascript', 'android', 'swift', 'kotlin', 'php']"
freifunk,Free and open wireless networks,"['embedded systems', 'open hardware', 'routing', 'wireless networks', 'federation']","['c', 'python', 'javascript', 'openwrt', 'gnu/linux']"
CircuitVerse.org,Build and learn logic circuits in the cloud!,"['education', 'web', 'simulation', 'pedagogy', 'digital logic design']","['javascript', 'rails', 'canvas']"
Center for Translational Data Science,Develop translational data science.,"['bioinformatics', 'data science', 'cloud', 'Data Meshes']","['python', 'aws']"
BRL-CAD,3D CAD & other computer-aided tech (CAx),"['geometry', '2d/3d graphics', 'ray tracing', 'high-performance computing', 'conversion standards']","['python', 'c/c++', 'opengl', 'opencl', 'scripting']"
moja global,Collaboration for change,"['climate monitoring', 'nature based solutions', 'land system modelling']","['python', 'javascript', 'c++', 'docker', 'Data-Science']"
LibreHealth,Healthcare for Humanity,"['web', 'deep learning', 'hfoss', 'radiology', 'mobile apps']","['python', 'javascript', 'android', 'java', 'dart/flutter']"
Our World In Data,Explaining the world's biggest problems with data,"['open data', 'data visualisation', 'Data cataloging']","['python', 'mysql', 'd3', 'typescript', 'pandas']"
Keptn,Event-driven orchestration of cloud-native apps,"['cloud', 'devops', 'sre', 'CloudNative', 'Operations']","['golang', 'kubernetes', 'angular', 'Helm']"
OpenMRS,"Write Code, Save Lives.","['platform', 'Electronic Medical Record System']","['mysql', 'javascript', 'java', 'fhir', 'Cypress']"
